Unnamed: 0,name_of_the_fund_lst,aum_funds_individual_lst,nav_funds_individual_lst,Exit_Load_lst,rating_of_funds_individual_lst,minimum_funds_individual_lst,pe,pb,debt_per,equity_per,average_maturity,yield_to_maturity,name_of_the_fund,risk_of_the_fund,type_of_fund,one_year_returns,three_year_returns,five_year_returns,link_of_the_funds
227,Invesco India Growth Opportunities Fund Direct Growth,"₹3,502.80Cr",55.35,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",3,100.0,21.92192281,3.09881078,1.42,98.58,,,Invesco India Growth Opportunities Fund Direct Growth,Very High,Equity,-0.25,15.19,11.8,https://groww.in/mutual-funds/invesco-india-growth-fund-direct-growth
228,HSBC Tax Saver Equity Fund Direct Growth,₹172.39Cr,57.15,Nil,2,500.0,26.78537174,3.53537206,0.9,99.1,,,HSBC Tax Saver Equity Fund Direct Growth,Very High,Equity,4.79,15.14,8.77,https://groww.in/mutual-funds/hsbc-tax-saver-equity-fund-direct-growth
229,IDBI Focused 30 Equity Fund Direct Growth,₹120.56Cr,15.19,Exit load of 1% if redeemed within 12 months.,4,500.0,26.97637786,3.72436432,0.47,99.53,,,IDBI Focused 30 Equity Fund Direct Growth,Very High,Equity,6.08,15.09,,https://groww.in/mutual-funds/idbi-focused-30-equity-fund-direct-growth
230,Baroda Hybrid Equity Fund Direct Plan Growth,₹373.78Cr,89.28,Exit load of 1% if redeemed within 12 months,3,373.78,24.77636095,3.73797777,22.95,77.05,1299.4,6.01554259,Baroda Hybrid Equity Fund Direct Plan Growth,Very High,Hybrid,15.64,15.04,12.27,https://groww.in/mutual-funds/baroda-pioneer-balance-fund-direct-growth
231,SBI Bluechip Direct Plan Growth,"₹29,983.45Cr",63.07,Exit load of 1% if redeemed within 1 year,3,500.0,22.27949078,3.27535816,5.03,94.97,,,SBI Bluechip Direct Plan Growth,Very High,Equity,4.84,15.03,10.87,https://groww.in/mutual-funds/sbi-bluechip-fund-direct-growth
232,Tata Flexi Cap Fund Direct Growth,"₹2,004.34Cr",15.80,"For units more than 12% of the investments, an exit load of 1% if redeemed within 12 months.",3,150.0,25.81463386,4.34135467,5.45,94.53,,,Tata Flexi Cap Fund Direct Growth,Very High,Equity,2.53,15.01,,https://groww.in/mutual-funds/tata-multicap-fund-direct-growth
233,Indiabulls Value Fund Direct Growth,₹9.79Cr,18.23,Exit load of 1% if redeemed within 1 year.,2,500.0,21.16535422,2.81550133,1.90649141,98.09350842,,,Indiabulls Value Fund Direct Growth,Very High,Equity,3.71,14.97,5.57,https://groww.in/mutual-funds/indiabulls-value-discovery-fund-direct-growth
234,Edelweiss Large Cap Fund Direct Growth,₹310.42Cr,55.68,Exit load of 1% if redeemed within 365 days,4,100.0,18.70040649,2.92350949,8.62353315,91.37646685,,,Edelweiss Large Cap Fund Direct Growth,Very High,Equity,2.92,14.96,11.95,https://groww.in/mutual-funds/edelweiss-top-100-fund-direct-growth
235,Aditya Birla Sun Life Flexi Cap Fund Direct Growth,"₹14,349.08Cr","1,135.47",1% for redemption within 90 days,3,100.0,18.57462121,3.05392496,3.542816,96.4571835,,,Aditya Birla Sun Life Flexi Cap Fund Direct Growth,Very High,Equity,-1.63,14.95,9.89,https://groww.in/mutual-funds/birla-sun-life-equity-fund-direct-growth
236,Axis Flexi Cap Fund Direct Growth,"₹9,696.34Cr",18.00,For more than 10% of investments 1% will be charged if redeemed within 12 months,4,500.0,29.48527232,4.82664603,12.5,87.5,,,Axis Flexi Cap Fund Direct Growth,Very High,Equity,-1.04,14.94,,https://groww.in/mutual-funds/axis-flexi-cap-fund-direct-growth
237,Aditya Birla Sun Life Infrastructure Direct Fund Growth,₹477.22Cr,48.50,Exit load of 1% if redeemed within 30 days.,2,477.22,17.06343176,2.28609823,3.34762015,96.65237962,,,Aditya Birla Sun Life Infrastructure Direct Fund Growth,Very High,Equity,-4.28,14.94,6.2,https://groww.in/mutual-funds/birla-sun-life-infrastructure-fund-plan-a-direct-growth
238,UTI Nifty Next 50 Index Fund Direct Growth,"₹1,627.03Cr",14.47,Nil,3,500.0,24.519206,3.447297,0.05641554000000001,99.94358422,,,UTI Nifty Next 50 Index Fund Direct Growth,Very High,Other,2.65,14.87,,https://groww.in/mutual-funds/uti-nifty-next-50-index-fund-direct-growth
239,IDFC Large Cap Fund Direct Growth,₹962.99Cr,51.43,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",4,100.0,26.98053926,3.65621664,0.36393564,99.64,,,IDFC Large Cap Fund Direct Growth,Very High,Equity,5.3,14.83,10.48,https://groww.in/mutual-funds/idfc-equity-fund-direct-growth
240,Invesco India Largecap Fund Direct Growth,₹616.25Cr,47.14,Nil,5,100.0,24.18740328,3.30922611,1.5,98.5,,,Invesco India Largecap Fund Direct Growth,Very High,Equity,3.04,14.82,11.63,https://groww.in/mutual-funds/invesco-india-business-leaders-fund-direct-growth
241,IDFC Focused Equity Fund Direct Growth,"₹1,211.20Cr",56.90,"If unit beyond 10%, Exit load of 1% if redeemed within 1 year.",3,100.0,30.31405495,3.82917867,0.33254294,99.67,,,IDFC Focused Equity Fund Direct Growth,Very High,Equity,2.01,14.82,8.34,https://groww.in/mutual-funds/idfc-imperial-equity-fund-direct-growth
242,HDFC Multi Asset Fund Direct Growth,"₹1,476.10Cr",50.24,"For redemption in excess of 15% of the units, 1% will be charged if redeemed within 12 months.",3,300.0,18.46775486,2.9533188,34.11987684,54.27459579,173.905345,7.59097956,HDFC Multi Asset Fund Direct Growth,Very High,Hybrid,5.77,14.8,10.36,https://groww.in/mutual-funds/hdfc-multiple-yield-fund-plan-2005-direct-growth
243,HDFC Retirement Savings Fund Hybrid Equity Plan Direct Growth,₹796.65Cr,26.57,Nil,4,300.0,19.04173267,2.69160299,34.53,65.47,1241.87557295,6.10346013,HDFC Retirement Savings Fund Hybrid Equity Plan Direct Growth,Very High,Solution Oriented,2.28,14.79,11.48,https://groww.in/mutual-funds/hdfc-retirement-savings-fund-hybrid-equity-plan-direct-growth
244,Navi Flexi Cap Fund Direct Growth,₹180.12Cr,16.08,Nil,3,500.0,12.74741548,2.6213416,3.13311012,96.87,,,Navi Flexi Cap Fund Direct Growth,Very High,Equity,4.94,14.77,,https://groww.in/mutual-funds/navi-flexi-cap-fund-direct-growth
245,Mirae Asset Large Cap Fund Direct Growth,"₹30,299.43Cr",80.93,Exit load of 1% if redeemed within 1 year,4,30299.43,20.68757373,3.20077029,1.11322612,98.88677339,,,Mirae Asset Large Cap Fund Direct Growth,Very High,Equity,3.94,14.76,12.03,https://groww.in/mutual-funds/mirae-asset-india-opportunities-fund-direct-growth
246,DSP World Mining Fund Direct Plan Growth,₹153.02Cr,13.41,Nil,,500.0,,,1.84,98.16,,,DSP World Mining Fund Direct Plan Growth,Very High,Other,-11.68,14.75,13.21,https://groww.in/mutual-funds/dsp-blackrock-world-mining-fund-direct-growth
247,Nippon India Nifty Next 50 Junior BeES FoF Direct Growth,₹116.37Cr,14.72,Nil,3,100.0,16.88533568,2.94189452,0.27423351,99.730126,,,Nippon India Nifty Next 50 Junior BeES FoF Direct Growth,Moderately High,Other,2.69,14.75,,https://groww.in/mutual-funds/nippon-india-junior-bees-fof-direct-growth
248,SBI Magnum Equity ESG Fund Direct Plan Growth,"₹4,085.43Cr",165.19,Exit load of 1% if redeemed within 1 year,,500.0,23.71361153,3.94859105,1.83,98.17,,,SBI Magnum Equity ESG Fund Direct Plan Growth,Very High,Equity,4.56,14.68,11.84,https://groww.in/mutual-funds/sbi-magnum-equity-fund-direct-growth
249,SBI Flexicap Fund Direct Growth,"₹14,490.69Cr",77.25,Exit load of 0.10% if redeemed within 30 days.,3,500.0,17.36797354,2.7852127,7.54,92.46,,,SBI Flexicap Fund Direct Growth,Very High,Equity,2.14,14.67,11.23,https://groww.in/mutual-funds/sbi-flexicap-fund-direct-growth
250,L&amp;T Business Cycles Fund Direct Growth,₹487.94Cr,23.54,"For units in excess of 10% of the investment,1% will be charged for redemption within 1 year.",,500.0,21.69780357,2.94393762,0.98,99.02,,,L&amp;T Business Cycles Fund Direct Growth,Very High,Equity,6.56,14.67,8.19,https://groww.in/mutual-funds/l-t-business-cycles-fund-direct-growth
251,Franklin India Taxshield Direct Growth,"₹4,312.12Cr",888.20,Nil,3,500.0,18.49966218,2.6224547,3.246202,96.75379772,,,Franklin India Taxshield Direct Growth,Very High,Equity,4.4,14.66,10.25,https://groww.in/mutual-funds/franklin-india-taxshield-direct-growth
252,Baroda Large Cap Direct Fund Growth,₹49.55Cr,21.96,Exit load of 1% if redeemed within 1 year.,2,49.55,23.71253068,3.4431308,4.87,95.13,,,Baroda Large Cap Direct Fund Growth,Very High,Equity,6.97,14.64,11.35,https://groww.in/mutual-funds/baroda-pioneer-large-cap-fund-direct-growth
253,UTI Hybrid Equity Fund Direct Fund Growth,"₹4,069.17Cr",257.24,Exit load of 1% if units in excess of 10% are redeemed or switched-out within 12 months,3,500.0,16.80460742,2.52574042,27.62761539,72.37238421,1679.0,6.91,UTI Hybrid Equity Fund Direct Fund Growth,Very High,Hybrid,5.86,14.64,9.25,https://groww.in/mutual-funds/uti-balanced-fund-direct-growth
254,Tata Equity PE Fund Direct Growth,"₹4,676.61Cr",206.36,"For units more than 12% of the investments, an exit load of 1% if redeemed within 12 months.",3,150.0,15.85130792,2.69395385,2.08,97.93,,,Tata Equity PE Fund Direct Growth,Very High,Equity,7.15,14.64,9.48,https://groww.in/mutual-funds/tata-equity-pe-fund-direct-growth
255,Shriram Long Term Equity Fund Direct Growth,₹38.66Cr,15.57,Nil,3,500.0,26.13451674,3.99227508,2.14,97.86,,,Shriram Long Term Equity Fund Direct Growth,Very High,Equity,5.2,14.59,,https://groww.in/mutual-funds/shriram-long-term-equity-fund-direct-growth
256,UTI MNC Fund Direct Growth,"₹2,323.45Cr",289.27,Exit load of 1% if redeemed less than 1 year,,500.0,43.91746206,7.34967791,2.94,97.07,,,UTI MNC Fund Direct Growth,Very High,Equity,5.44,14.57,9.48,https://groww.in/mutual-funds/uti-mnc-fund-direct-growth
257,IDBI Long Term Value Fund Direct Growth,₹92.10Cr,15.54,"For units in excess of 10% of the investment,1% will be charged for redemption within 12 months.",3,500.0,20.26293208,2.88541673,4.25,95.75,,,IDBI Long Term Value Fund Direct Growth,Very High,Equity,3.19,14.57,,https://groww.in/mutual-funds/idbi-long-term-value-fund-direct-growth
258,HSBC Flexi Cap Fund Direct Growth,₹368.13Cr,129.91,Exit load of 1% if redeemed within 1 year,2,500.0,23.00260215,3.03271217,2.59,97.41,,,HSBC Flexi Cap Fund Direct Growth,Very High,Equity,0.63,14.49,8.56,https://groww.in/mutual-funds/hsbc-india-opportunities-fund-direct-growth
259,Sundaram Global Brand Direct Growth,₹112.17Cr,22.59,"For units more than 25% of the investments, an exit load of 1% if redeemed within 365 days.",,112.17,,,3.063641,96.936359,,,Sundaram Global Brand Direct Growth,Very High,Other,17.33,14.49,11.83,https://groww.in/mutual-funds/sundaram-global-advantage-fund-direct-growth
260,IDBI Nifty Junior Index Fund Direct Growth,₹48.87Cr,31.96,Nil,2,500.0,24.519206,3.447297,0.65,99.35,,,IDBI Nifty Junior Index Fund Direct Growth,Very High,Other,2.86,14.49,7.83,https://groww.in/mutual-funds/idbi-nifty-junior-index-fund-direct-growth
261,ICICI Prudential Nifty Next 50 Index Direct Growth,"₹2,042.74Cr",36.45,Nil,2,100.0,24.519206,3.447297,0.07072624,99.92927355,,,ICICI Prudential Nifty Next 50 Index Direct Growth,Very High,Other,2.65,14.48,7.87,https://groww.in/mutual-funds/icici-prudential-nifty-next-50-index-fund-direct-growth
262,DSP Nifty Next 50 Index Fund Direct Growth,₹186.16Cr,15.44,Nil,3,500.0,24.519206,3.447297,0.18,99.82,,,DSP Nifty Next 50 Index Fund Direct Growth,Moderately High,Other,2.8,14.45,,https://groww.in/mutual-funds/dsp-nifty-next-50-index-fund-direct-growth
263,Aditya Birla Sun Life Equity Advantage Fund Direct Growth,"₹4,930.24Cr",615.08,1% for redemption within 90 days,2,4930.24,27.41726391,3.96832562,1.35211976,98.64788024,,,Aditya Birla Sun Life Equity Advantage Fund Direct Growth,Very High,Equity,-6.9,14.44,7.83,https://groww.in/mutual-funds/birla-sun-life-advantage-fund-direct-growth
264,Motilal Oswal Focused 25 Fund Direct Growth,"₹1,569.74Cr",34.83,Exit load of 1% if redeemed within 15 days,2,500.0,25.17556967,4.21732888,1.2525895,98.74741035,,,Motilal Oswal Focused 25 Fund Direct Growth,Very High,Equity,-0.58,14.43,9.96,https://groww.in/mutual-funds/motilal-oswal-most-focused-25-fund-direct-growth
265,DSP Equity &amp; Bond Direct Growth,"₹6,836.89Cr",236.95,Exit load of 1% if redeemed within 12 months,3,500.0,28.14630422,4.2101842,28.58,71.42,777.4499999999999,6.44,DSP Equity &amp; Bond Direct Growth,Very High,Hybrid,-2.04,14.41,10.42,https://groww.in/mutual-funds/dsp-blackrock-balanced-fund-direct-growth
266,Bank of India Conservative Hybrid Fund Direct Growth,₹53.35Cr,28.35,Exit load of 1% if units in excess of 10% of the initial units allotted are redeemed within 1 year,2,53.35,23.31873626,3.01239564,75.94,24.06,248.2,5.51,Bank of India Conservative Hybrid Fund Direct Growth,Moderate,Hybrid,22.12,14.38,6.81,https://groww.in/mutual-funds/boi-axa-regular-return-fund-direct-growth
267,Baroda BNP Paribas ELSS Direct Growth,₹628.18Cr,59.32,Nil,3,500.0,23.91041332,3.3929778,5.8,94.2,,,Baroda BNP Paribas ELSS Direct Growth,Very High,Equity,-1.08,14.36,9.84,https://groww.in/mutual-funds/baroda-bnp-paribas-elss-direct-growth
268,HDFC Capital Builder Value Fund Direct Plan Growth,"₹4,781.71Cr",440.20,Exit load of 1% if redeemed within 1 year,2,300.0,18.29106654,2.85205361,1.38000627,98.62,,,HDFC Capital Builder Value Fund Direct Plan Growth,Very High,Equity,4.0,14.31,10.07,https://groww.in/mutual-funds/hdfc-capital-builder-fund-direct-growth
269,Axis Triple Advantage Direct Plan Growth,"₹1,591.08Cr",31.42,"For units in excess of 10% of the investment, 1% will be charged for redemption within 12 months",4,1591.08,29.92570079,4.45391453,17.882952,70.9,1025.65,6.43691244,Axis Triple Advantage Direct Plan Growth,Very High,Hybrid,0.56,14.3,11.39,https://groww.in/mutual-funds/axis-triple-advantage-fund-direct-growth
270,IDBI Equity Advantage Fund Direct Growth,₹443.68Cr,39.64,Nil,2,500.0,20.51267583,3.15588293,2.04,97.96,,,IDBI Equity Advantage Fund Direct Growth,Very High,Equity,3.15,14.27,9.06,https://groww.in/mutual-funds/idbi-equity-advantage-fund-direct-growth
271,IDFC Hybrid Equity Fund Direct Growth,₹536.55Cr,17.56,Exit load of 1% if units in excess of 10% are redeemed or switched-out within 12 months.,3,100.0,28.09619506,3.55488465,23.42,76.58,653.35,6.52,IDFC Hybrid Equity Fund Direct Growth,Very High,Hybrid,2.45,14.22,9.17,https://groww.in/mutual-funds/idfc-balanced-fund-direct-growth
272,Franklin India Bluechip Direct Fund Growth,"₹5,927.16Cr",705.52,Exit load of 1% if redeemed within 1 year,2,500.0,24.76487262,4.00424207,2.45969601,97.54030375,,,Franklin India Bluechip Direct Fund Growth,Very High,Equity,-0.76,14.16,8.99,https://groww.in/mutual-funds/franklin-india-bluechip-direct-growth
273,Edelweiss US Value Equity Offshore Fund Direct Growth,₹73.71Cr,24.70,Exit load of 1% if redeemed within 12 months,,500.0,,,1.66,98.34,,,Edelweiss US Value Equity Offshore Fund Direct Growth,Very High,Other,0.85,14.1,12.05,https://groww.in/mutual-funds/edelweiss-us-value-equity-offshore-fund-direct
274,L&amp;T Large and Midcap Fund Direct Growth,"₹1,349.92Cr",69.97,"For units in excess of 10% of the investment, 1% will be charged for redemption within 1 year.",2,500.0,29.69887784,4.18233344,1.28,98.72027409,,,L&amp;T Large and Midcap Fund Direct Growth,Very High,Equity,2.28,14.07,7.73,https://groww.in/mutual-funds/l-t-india-special-situations-fund-direct-growth
275,Aditya Birla Sun Life Frontline Equity Direct Fund Growth,"₹19,782.18Cr",348.10,Exit load of 1% if redeemed within 90 days.,2,100.0,20.54372841,2.96203027,4.44362384,95.55639614,,,Aditya Birla Sun Life Frontline Equity Direct Fund Growth,Very High,Equity,4.97,14.06,9.87,https://groww.in/mutual-funds/birla-sun-life-frontline-equity-fund-direct-growth
276,Mirae Asset Hybrid Equity Fund Direct Growth,"₹6,395.79Cr",23.51,"For units in excess of 15% of the investment,1% will be charged for redemption within 365 days",4,6395.79,18.53271532,2.84358768,25.93224085,74.06775873,1084.05,6.83,Mirae Asset Hybrid Equity Fund Direct Growth,Very High,Hybrid,3.4,14.02,11.88,https://groww.in/mutual-funds/mirae-asset-prudence-fund-direct-growth
277,Aditya Birla Sun Life Focused Equity Fund Direct Growth,"₹5,364.89Cr",93.90,1% for redemption within 90 days,3,5364.89,24.33653841,3.18303792,8.86881958,91.13118042,,,Aditya Birla Sun Life Focused Equity Fund Direct Growth,Very High,Equity,4.02,14.01,10.3,https://groww.in/mutual-funds/birla-sun-life-top-100-fund-direct-growth
278,HDFC Balanced Advantage Fund Direct Plan Growth,"₹43,078.53Cr",307.30,"For units in excess of 15% of the investment, 1% will be charged for redemption within 1 year.",2,300.0,10.07669168,1.61991948,32.60668438,67.39331562,1216.3462137,5.89005219,HDFC Balanced Advantage Fund Direct Plan Growth,Very High,Hybrid,11.49,13.99,10.5,https://groww.in/mutual-funds/hdfc-growth-fund-direct-growth
279,IDFC Nifty 50 Index Direct Plan Growth,₹424.17Cr,35.18,Nil,3,100.0,20.643288,3.095328,0.4430884,99.56,,,IDFC Nifty 50 Index Direct Plan Growth,Very High,Other,4.95,13.96,11.74,https://groww.in/mutual-funds/idfc-nifty-fund-direct-growth
280,LIC MF Large Cap Fund Direct Growth,₹613.08Cr,41.26,"For units more than 12% of the investments, an exit load of 1% if redeemed within 12 months.",4,613.08,21.63287298,3.25380815,3.1643953,96.83560445,,,LIC MF Large Cap Fund Direct Growth,Very High,Equity,3.33,13.91,10.5,https://groww.in/mutual-funds/lic-mf-growth-fund-direct-growth
281,LIC MF Tax Direct Plan Growth,₹370.97Cr,102.80,Nil,3,500.0,24.8552155,3.80382667,2.24,97.76,,,LIC MF Tax Direct Plan Growth,Very High,Equity,4.11,13.9,10.84,https://groww.in/mutual-funds/lic-mf-tax-plan-direct-growth
282,Taurus Nifty 50 Index Fund Direct Growth,₹1.69Cr,33.03,"Exit load of 0.5%, if redeemed within 7 days.",,1.69,20.643288,3.095328,2.07,97.93,,,Taurus Nifty 50 Index Fund Direct Growth,Very High,Other,4.02,13.81,11.69,https://groww.in/mutual-funds/taurus-nifty-index-fund-direct-growth
283,Aditya Birla Sun Life Asset Allocator FoF Direct Growth,₹121.68Cr,21.34,Exit load of 1% if redeemed within 1 year,5,121.68,22.95331989,3.29638813,47.54270949,43.325796,1.095,,Aditya Birla Sun Life Asset Allocator FoF Direct Growth,High,Other,0.67,13.79,9.31,https://groww.in/mutual-funds/birla-sun-life-asset-allocator-multi-manager-fof-scheme-direct-growth
284,Aditya Birla Sun Life Financial Planning FoF Aggressive Plan Direct Growth,₹149.38Cr,34.69,Exit load of 1% if redeemed within 365 days.,3,500.0,21.03979108,3.14487955,23.1916646,46.859809,1.095,,Aditya Birla Sun Life Financial Planning FoF Aggressive Plan Direct Growth,Very High,Other,1.61,13.76,9.95,https://groww.in/mutual-funds/birla-sun-life-financial-planning-fof-aggressive-direct-growth
285,Sundaram Aggressive Hybrid Fund Direct Growth,"₹2,853.74Cr",117.71,"For units in excess of 25% of the investment,1% will be charged for redemption within 365 days",3,100.0,25.49133328,3.3381282,27.79142044,72.20857903,675.4948566,5.99792525,Sundaram Aggressive Hybrid Fund Direct Growth,High,Hybrid,4.61,13.75,10.56,https://groww.in/mutual-funds/sundaram-aggressive-hybrid-fund-direct-growth
286,Sundaram Large Cap Fund Direct Growth,"₹2,833.30Cr",14.32,"For units in excess of 25% of the investment,1% will be charged for redemption within 1 year.",4,100.0,23.64984367,3.07459021,3.93782481,96.0621752,,,Sundaram Large Cap Fund Direct Growth,Very High,Equity,4.1,13.74,11.84,https://groww.in/mutual-funds/sundaram-bluechip-fund-direct-growth
287,Axis Equity Hybrid Fund Direct Growth,"₹1,729.85Cr",15.26,"For units more than 10% of the allotted, an exit load of 1% will be charged if redeemed within 12 months.",4,1729.85,28.44182135,4.25764942,27.0,73.0,1620.6,6.85975411,Axis Equity Hybrid Fund Direct Growth,Very High,Hybrid,1.67,13.73,,https://groww.in/mutual-funds/axis-equity-hybrid-fund-direct-growth
288,ICICI Prudential 50 Nifty Index Direct Plan Growth,"₹3,065.53Cr",166.62,Nil,3,100.0,20.659379,3.07749,0.38628316,99.61371657,,,ICICI Prudential 50 Nifty Index Direct Plan Growth,Very High,Other,4.8,13.71,11.43,https://groww.in/mutual-funds/icici-prudential-nifty-index-fund-direct-growth
289,UTI Nifty 50 Index Fund Direct Growth,"₹7,068.10Cr",110.67,Nil,3,500.0,20.659379,3.07749,0.3,99.71,,,UTI Nifty 50 Index Fund Direct Growth,Very High,Other,4.81,13.7,11.62,https://groww.in/mutual-funds/uti-nifty-fund-direct-growth
290,ICICI Prudential S&amp;P BSE Sensex Index Fund Direct Growth,₹561.72Cr,17.59,Nil,3,100.0,22.839378,3.316482,0.30293879,99.69706106,,,ICICI Prudential S&amp;P BSE Sensex Index Fund Direct Growth,Very High,Other,5.1,13.69,,https://groww.in/mutual-funds/icici-prudential-sensex-index-fund-direct-growth
291,IDFC Flexi Cap Fund Direct Growth,"₹5,145.62Cr",136.62,"If unit beyond 10%, Exit load of 1% if redeemed within 1 year.",2,100.0,26.4083949,3.98347291,4.67,95.33,,,IDFC Flexi Cap Fund Direct Growth,Very High,Equity,3.35,13.69,8.31,https://groww.in/mutual-funds/idfc-premier-equity-fund-direct-growth
292,Union Largecap Fund Direct Growth,₹213.46Cr,15.89,1% exit load if redeemed within 15 days.,3,213.46,21.73146828,3.27963985,3.03,96.97,,,Union Largecap Fund Direct Growth,Very High,Equity,3.38,13.69,9.22,https://groww.in/mutual-funds/union-focussed-largecap-fund-direct-growth
293,HDFC Hybrid Equity Fund Direct Plan Growth,"₹17,191.96Cr",82.27,For more than 15% of investments 1% will be charged if redeemed within 1 year,3,300.0,17.13708304,2.35340796,29.205588,70.794412,409.91444355,5.75858629,HDFC Hybrid Equity Fund Direct Plan Growth,Very High,Hybrid,4.74,13.66,10.13,https://groww.in/mutual-funds/hdfc-premier-multi-cap-fund-direct-growth
294,Tata Nifty 50 Index Direct,₹263.47Cr,107.32,Exit load of 0.25% if redeemed within 7 days,3,150.0,20.659379,3.07749,0.62269485,99.36,,,Tata Nifty 50 Index Direct,Very High,Other,4.89,13.64,11.52,https://groww.in/mutual-funds/tata-index-fund-nifty-plan-direct
295,Nippon India Large Cap Fund Direct Growth,"₹10,584.82Cr",53.39,Exit load of 1% if redeemed within 7 days.,2,100.0,18.29664808,2.88684878,2.039999999999999,97.96,,,Nippon India Large Cap Fund Direct Growth,Very High,Equity,10.82,13.64,10.99,https://groww.in/mutual-funds/nippon-india-large-cap-fund-direct-growth
296,Nippon India Index Fund S&amp;P BSE Sensex Plan Direct Growth,₹282.71Cr,28.62,Exit load of 0.25% if redeemed within 7 days,4,100.0,22.839378,3.316482,0.43187469,99.57,,,Nippon India Index Fund S&amp;P BSE Sensex Plan Direct Growth,Very High,Other,5.28,13.62,12.34,https://groww.in/mutual-funds/nippon-india-index-fund-sensex-plan-direct-growth
297,Nippon India Index Fund Nifty 50 Plan Direct Growth,₹493.64Cr,29.02,Exit load of 0.25% if redeemed within 7 days,3,100.0,20.643288,3.095328,-0.06615104000000001,100.07,,,Nippon India Index Fund Nifty 50 Plan Direct Growth,Very High,Other,4.79,13.62,11.47,https://groww.in/mutual-funds/nippon-india-index-fund-nifty-plan-direct-growth
298,Tata Balanced Advantage Fund Direct Growth,"₹5,099.59Cr",15.35,"For units in excess of 12% of the investment,1% will be charged for redemption within 90 days",4,150.0,20.36974453,2.87377005,50.03941209,49.96058664,719.3899172,6.61,Tata Balanced Advantage Fund Direct Growth,Moderately High,Hybrid,6.39,13.61,,https://groww.in/mutual-funds/tata-balanced-advantage-fund-direct-growth
299,Aditya Birla Sun Life Commodity Equities Fund Global Agri Plan Direct Growth,₹16.04Cr,35.97,1% for redemption within 30 days,,16.04,10.17169419,1.74269811,4.165942999999999,95.83405688,,,Aditya Birla Sun Life Commodity Equities Fund Global Agri Plan Direct Growth,Very High,Equity,29.21,13.59,9.45,https://groww.in/mutual-funds/birla-sun-life-commodity-equities-fund-ga-direct-growth
300,HDFC Index Fund Nifty 50 Plan Direct Growth,"₹5,940.60Cr",154.09,Exit load of 0.25% if redeemed within 3 days,3,300.0,20.643288,3.095328,0.43601975,99.56397998,,,HDFC Index Fund Nifty 50 Plan Direct Growth,Very High,Other,4.75,13.56,11.54,https://groww.in/mutual-funds/hdfc-index-fund-nifty-plan-direct
301,HDFC Taxsaver Direct Plan Growth,"₹8,715.76Cr",774.58,Nil,1,500.0,17.90743227,2.6685921,3.82,96.18499555,,,HDFC Taxsaver Direct Plan Growth,Very High,Equity,11.57,13.55,8.32,https://groww.in/mutual-funds/hdfc-taxsaver-direct-growth
302,SBI Equity Hybrid Fund Direct Plan Growth,"₹48,908.09Cr",211.13,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",4,500.0,19.41843698,3.04291641,30.3532831,69.64671637000001,1616.95,6.74,SBI Equity Hybrid Fund Direct Plan Growth,Very High,Hybrid,4.75,13.51,11.43,https://groww.in/mutual-funds/sbi-magnum-balanced-fund-direct-growth
303,L&amp;T Focused Equity Fund Direct Growth,₹899.22Cr,15.62,"For units in excess of 10% of the investment,1% will be charged for redemption within 1 year.",3,500.0,24.13147952,3.93760742,6.99,93.01,,,L&amp;T Focused Equity Fund Direct Growth,Very High,Equity,-1.86,13.5,,https://groww.in/mutual-funds/l-t-focused-equity-fund-direct-growth
304,Kotak Global Emerging Market Fund Direct Growth,₹128.82Cr,20.32,"For units in excess of 10% of the investment,1% will be charged for redemption within 365 days",,128.82,,,2.42,97.58,,,Kotak Global Emerging Market Fund Direct Growth,Very High,Other,-6.23,13.49,10.77,https://groww.in/mutual-funds/kotak-global-emerging-market-fund-direct-growth
305,HDFC Index S&amp;P BSE Sensex Direct Plan Growth,"₹3,390.39Cr",503.93,Exit load of 0.25% if redeemed within 3 days,4,300.0,22.839378,3.316482,0.31144832,99.68855151,,,HDFC Index S&amp;P BSE Sensex Direct Plan Growth,Very High,Other,5.17,13.49,12.27,https://groww.in/mutual-funds/hdfc-index-fund-sensex-plan-direct
306,ICICI Prudential Asset Allocator Fund (FOF) Direct Growth,"₹16,031.35Cr",84.63,"For units in excess of 10% of the investment, exit load of 1% if redeemed within 1 year.",4,16031.35,16.07153192,2.27255274,58.11958174,31.5453,2284.9,6.16,ICICI Prudential Asset Allocator Fund (FOF) Direct Growth,Moderately High,Other,7.07,13.48,11.21,https://groww.in/mutual-funds/icici-prudential-moderate-plan-direct-growth
307,DSP Nifty 50 Index Fund Direct Growth,₹198.70Cr,15.53,Nil,3,500.0,20.659379,3.07749,0.42,99.58,,,DSP Nifty 50 Index Fund Direct Growth,Moderately High,Other,4.8,13.47,,https://groww.in/mutual-funds/dsp-nifty-50-index-fund-direct-growth
308,Aditya Birla Sun Life Nifty 50 Index Fund Direct Growth,₹384.39Cr,164.53,Nil,3,100.0,20.643288,3.095328,0.56241606,99.43758366,,,Aditya Birla Sun Life Nifty 50 Index Fund Direct Growth,Very High,Other,4.71,13.47,11.06,https://groww.in/mutual-funds/birla-sun-life-index-fund-direct-growth
